,Player,Link,StartYear,EndYear,Position,Tenure,Height,Weight,Birthday,All_Star_apps,All_NBA_apps,All_Def_apps,HOF,Games,PPG,TRPG,APG,FG_pct,3_pt_pct,FT_pct,eFG_pct,PER,WS,Avg Games Played,> Avg Games
1,Kareem Abdul-Jabbar,/players/a/abdulka01.html,1970,1989,C,19,218,102,1947-04-16,19,15,11,Hall of Fame,1560,24.6,11.2,3.6,55.9,5.6,72.1,55.9,24.6,273.4,82.10526315789474,1
2,Mahmoud Abdul-Rauf,/players/a/abdulma02.html,1991,2001,G,10,185,73,1969-03-09,0,0,0,0,586,14.6,1.9,3.5,44.2,35.4,90.5,47.2,15.4,25.2,58.6,0
3,Tariq Abdul-Wahad,/players/a/abdulta01.html,1998,2003,F,5,198,101,1974-11-03,0,0,0,0,236,7.8,3.3,1.1,41.7,23.7,70.3,42.2,11.4,3.5,47.2,0
4,Shareef Abdur-Rahim,/players/a/abdursh01.html,1997,2008,F,11,206,102,1976-12-11,1,0,0,0,830,18.1,7.5,2.5,47.2,29.7,81.0,47.9,19.0,71.2,75.45454545454545,1
5,Mark Acres,/players/a/acresma01.html,1988,1993,FC,5,211,99,1962-11-15,0,0,0,0,375,3.6,4.1,0.5,50.6,53.8,66.5,50.9,9.0,9.3,75.0,1
6,Alvan Adams,/players/a/adamsal01.html,1976,1988,CF,12,206,95,1954-07-19,1,0,0,0,988,14.1,7.0,4.1,49.8,13.3,78.8,49.8,18.3,73.5,82.33333333333333,1
7,Don Adams,/players/a/adamsdo01.html,1971,1977,F,6,198,95,1947-11-27,0,0,0,0,523,8.8,5.6,1.9,40.2,0.0,74.1,40.2,10.7,11.7,87.16666666666667,1
8,Michael Adams,/players/a/adamsmi01.html,1986,1996,G,10,178,73,1963-01-19,1,0,0,0,653,14.7,2.9,6.4,41.5,33.2,84.9,47.5,16.6,46.9,65.3,1
9,Rafael Addison,/players/a/addisra01.html,1987,1997,FG,10,201,97,1964-07-22,0,0,0,0,379,5.8,2.1,0.9,44.9,28.2,77.2,46.6,10.5,4.9,37.9,0
11,Mark Aguirre,/players/a/aguirma01.html,1982,1994,FG,12,198,105,1959-12-10,3,0,0,0,923,20.0,5.0,3.1,48.4,31.2,74.1,49.8,19.0,67.8,76.91666666666667,1
12,Danny Ainge,/players/a/aingeda01.html,1982,1995,G,13,193,79,1959-03-17,1,0,0,0,1042,11.5,2.7,4.0,46.9,37.8,84.6,51.9,14.7,71.5,80.15384615384616,1
13,Cory Alexander,/players/a/alexaco01.html,1996,2005,G,9,185,83,1973-06-22,0,0,0,0,307,5.5,1.6,2.7,38.9,35.4,75.6,46.8,12.4,3.0,34.111111111111114,0
14,Victor Alexander,/players/a/alexavi01.html,1992,2002,CF,10,206,120,1969-08-31,0,0,0,0,286,8.9,4.8,0.9,51.8,28.6,63.4,52.2,13.7,8.8,28.6,0
16,Malik Allen,/players/a/allenma01.html,2002,2011,FC,9,208,115,1978-06-27,0,0,0,0,478,4.9,2.8,0.5,43.9,18.8,77.8,44.0,9.9,6.6,53.111111111111114,0
17,Ray Allen,/players/a/allenra02.html,1997,2014,G,17,196,92,1975-07-20,10,2,0,Hall of Fame,1300,18.9,4.1,3.4,45.2,40.0,89.4,53.0,18.6,145.1,76.47058823529412,1
18,Rafer Alston,/players/a/alstora01.html,2000,2010,G,10,188,77,1976-07-24,0,0,0,0,671,10.1,2.8,4.8,38.3,35.4,72.9,46.1,13.2,32.9,67.1,1
19,John Amaechi,/players/a/amaecjo01.html,1996,2003,CF,7,208,122,1970-11-26,0,0,0,0,294,6.2,2.6,0.8,40.3,7.7,67.1,40.3,8.9,0.5,42.0,0
20,Lou Amundson,/players/a/amundlo01.html,2007,2016,FC,9,206,99,1982-12-07,0,0,0,0,428,3.7,3.6,0.4,47.4,0.0,44.4,47.4,12.0,6.9,47.55555555555556,0
21,Derek Anderson,/players/a/anderde01.html,1998,2008,G,10,196,87,1974-07-18,0,0,0,0,615,12.0,3.2,3.4,40.8,34.1,85.3,46.3,15.3,43.9,61.5,1
22,Greg Anderson,/players/a/andergr01.html,1988,1998,FC,10,208,104,1964-06-22,0,0,0,0,680,7.3,6.2,0.6,49.2,8.7,55.7,49.2,13.0,18.7,68.0,1
23,James Anderson,/players/a/anderja01.html,2011,2016,GF,5,198,96,1989-03-25,0,0,0,0,247,5.8,2.3,1.2,41.1,32.1,75.5,48.8,9.9,3.3,49.4,0
24,Kenny Anderson,/players/a/anderke01.html,1992,2005,G,13,183,76,1970-10-09,1,0,0,0,858,12.6,3.1,6.1,42.1,34.6,79.0,44.9,16.4,62.5,66.0,1
25,Nick Anderson,/players/a/anderni01.html,1990,2002,FG,12,198,92,1968-01-20,0,0,0,0,800,14.4,5.1,2.6,44.6,35.6,66.7,50.0,15.8,55.3,66.66666666666667,1
26,Richard Anderson,/players/a/anderri01.html,1983,1990,FC,7,208,108,1960-11-19,0,0,0,0,407,5.6,3.5,1.5,41.2,33.3,76.2,44.6,12.3,7.6,58.142857142857146,0
27,Ron Anderson,/players/a/anderro01.html,1985,1994,FG,9,201,97,1958-10-15,0,0,0,0,664,10.6,3.5,1.4,47.1,28.7,81.4,47.9,14.3,24.2,73.77777777777777,1
28,Shandon Anderson,/players/a/andersh01.html,1997,2006,FG,9,198,94,1973-12-31,0,0,0,0,719,7.4,3.1,1.4,45.7,31.6,73.9,49.2,11.7,23.6,79.88888888888889,1
29,Willie Anderson,/players/a/anderwi01.html,1989,1997,GF,8,201,86,1967-01-08,0,0,0,0,555,12.2,3.8,3.8,47.1,26.6,78.6,47.9,13.8,27.9,69.375,1
30,Greg Anthony,/players/a/anthogr01.html,1992,2002,G,10,183,79,1967-11-15,0,0,0,0,757,7.3,1.9,4.0,40.3,34.9,73.3,46.7,14.5,35.9,75.7,1
31,Tiny Archibald,/players/a/architi01.html,1971,1984,G,13,185,68,1948-09-02,6,5,0,Hall of Fame,876,18.8,2.3,7.4,46.7,22.4,81.0,46.8,18.0,83.4,67.38461538461539,1
32,Jim Ard,/players/a/ardji01.html,1971,1978,FC,7,203,97,1948-09-19,0,0,0,0,431,4.4,4.3,0.6,40.2,23.5,66.2,40.3,10.6,4.0,61.57142857142857,1
33,Gilbert Arenas,/players/a/arenagi01.html,2002,2012,G,10,190,86,1982-01-06,3,3,0,0,552,20.7,3.9,5.3,42.1,35.1,80.3,48.2,19.6,51.3,55.2,0
35,B.J. Armstrong,/players/a/armstbj01.html,1990,2000,G,10,188,79,1967-09-09,1,0,0,0,747,9.8,1.8,3.3,47.7,42.5,85.6,51.3,14.5,45.0,74.7,1
36,Darrell Armstrong,/players/a/armstda01.html,1995,2008,G,13,183,77,1968-06-22,0,0,0,0,840,9.2,2.7,4.0,40.9,33.4,87.1,48.0,16.3,49.8,64.61538461538461,1
37,Hilton Armstrong,/players/a/armsthi01.html,2007,2014,FC,7,211,106,1984-11-11,0,0,0,0,292,3.0,2.6,0.3,50.1,28.6,58.2,50.2,9.9,3.9,41.714285714285715,0
